대학명,학과명,학점,모집인원,경쟁률
가천대학교,일본어문학과,X,X,X
가천대학교,중국어문학과,X,X,X
가천대학교,영미어문학과,X,X,X
가천대학교,유럽어문학과,X,X,X
가천대학교,한국어문학과,X,X,X
가천대학교,AI인문대학,3.06,22,8.8
가천대학교,스마트보안학과,2.94,8,7.63
가천대학교,인공지능학과,2.81,21,7.15
가천대학교,게임・영상학과,X,X,X
가천대학교,바이오의료기기학과,X,X,X
가천대학교,스마트시티학과,3.38,8,6.43
가천대학교,의공학과,3.83,6,8.67
가천대학교,전기공학과,3.25,8,7.25
가천대학교,컴퓨터공학과,2.74,16,7.1
가천대학교,클라우드공학과,X,X,X
가천대학교,자유전공학부,5.14,321,20.48
가천대학교,간호학과,2.01,28,6.85
가천대학교,관광경영학과,3,7,9.43
가천대학교,의료산업경영학과,3.14,7,8.14
가천대학교,회계세무학과,2.9,7,11.71
가천대학교,경영학과,2.76,15,9.56
가천대학교,금융・빅데이터학부,3.17,12,7
가천대학교,금융・빅데이터학부(금융수학전공),X,X,X
가천대학교,금융・빅데이터학부(빅데이터경영전공),X,X,X
가천대학교,기계공학부(기계공학전공),X,X,X
가천대학교,기계공학부(산업공학전공),X,X,X
가천대학교,기계공학부(설비・소방공학전공),X,X,X
가천대학교,기계공학부(스마트팩토리전공),3.22,9,6.89
가천대학교,건축공학전공,X,X,X
가천대학교,건축학부,3.3,7,8.08
가천대학교,건축학전공,X,X,X
가천대학교,도시계획・조경학부,3.61,10,9
가천대학교,도시계획학전공,X,X,X
가천대학교,미래자동차학과,X,X,X
가천대학교,신소재공학과,3.02,6,10.83
가천대학교,실내건축학전공,X,X,X
가천대학교,조경학전공,2.77,25,6
가천대학교,토목환경공학과,2.77,25,6
가천대학교,화공생명배터리공학부,X,X,X
가천대학교,화공생명배터리공학부(배터리공학전공),X,X,X
가천대학교,화공생명배터리공학부(화공생명공학전공),X,X,X
가천대학교,기계공학부,2.93,18,10.73
가천대학교,국제학부(국제자유전공),X,X,X
가천대학교,국제학부(한국학전공),X,X,X
가천대학교,경영학과,2.76,18,9.6
가천대학교,관광경영학과,3,9.4,7
가천대학교,미디어커뮤니케이션학과,2.32,5,11.8
가천대학교,심리학과,2.35,6,11.83
가천대학교,컴퓨터공학과,X,X,X
가천대학교,한국어교육학과,X,X,X
가천대학교,반도체물리학과,3.02,6,7.29
가천대학교,바이오나노학과,3.16,7,5.9
가천대학교,생명과학과,3.41,7,6.43
가천대학교,식품생명공학과,3.16,9,5.86
가천대학교,식품영양학과,X,X,X
가천대학교,화학과,2.74,7,15.71
가천대학교,반도체공학과,3.04,21,6.23
가천대학교,시스템반도체학과,3.44,9,5.89
가천대학교,전자공학과,X,X,X
가천대학교,반도체・디스플레이학과,X,X,X
가천대학교,반도체설계학과,X,X,X
가천대학교,반도체대학,3.04,21,6.23
가천대학교,경찰행정학과,X,X,X
가천대학교,법학과,X,X,X
가천대학교,행정학과,X,X,X
가천대학교,법과대학,2.84,17,10.45
가천대학교,경제학과,2.8,8,9.43
가천대학교,미디어커뮤니케이션학과,X,X,X
가천대학교,사회복지학과,3.17,6,17.67
가천대학교,심리학과,X,X,X
가천대학교,유아교육학과,3.21,6,9.33
가천대학교,응용통계학과,2.73,9,9.43
가천대학교,패션산업학과,3.09,6,12.67
가천대학교,스타트업칼리지(창업융합전공),X,X,X
가천대학교,바이오로직스학과,2.9,12,6.38
가천대학교,약학과,1.13,3,37.7
가천대학교,미술・디자인학부(산업디자인전공),X,X,X
가천대학교,미술・디자인학부(시각디자인전공),X,X,X
가천대학교,미술・디자인학부(조소전공),X,X,X
가천대학교,미술・디자인학부(회화전공),X,X,X
가천대학교,연기예술학과,X,X,X
가천대학교,운동재활학과,4,6,11.4
가천대학교,음악학부(기악),X,X,X
가천대학교,음악학부(성악),X,X,X
가천대학교,음악학부(작곡),X,X,X
가천대학교,체육학부(체육),X,X,X
가천대학교,체육학부(태권도),X,X,X
가천대학교,의예과,1.05,4,13.4
가천대학교,의학과,X,X,X
가천대학교,물리치료학과,2.11,6,10.33
가천대학교,방사선학과,X,X,X
가천대학교,응급구조학과,4.11,4,116.1
가천대학교,치위생학과,2.84,5,6.2
가천대학교,한의예과,1.12,7,27.4
가천대학교,한의학과,X,X,X
