대학명,단과대학,학과명,폐과,소재지,소재지(상세),주야구분,학과특성,표준분류계열(대),표준분류계열(중),표준분류계열(소),관심
가천대학교,AI인문대학,일본어문학과,,경기,성남시,주간,일반과정,인문사회계열,언어・문학,일본어・문학,
가천대학교,AI인문대학,중국어문학과,,경기,성남시,주간,일반과정,인문사회계열,언어・문학,중국어・문학,
가천대학교,AI인문대학,영미어문학과,,경기,성남시,주간,일반과정,인문사회계열,언어・문학,영어・영문학,
가천대학교,AI인문대학,유럽어문학과,,경기,성남시,주간,일반과정,인문사회계열,언어・문학,독일어・문학,
가천대학교,AI인문대학,한국어문학과,,경기,성남시,주간,일반과정,인문사회계열,언어・문학,국어・국문학,
가천대학교,AI인문대학,AI인문대학,,경기,성남시,주간,일반과정,인문사회계열,언어・문학,N.C.E.,
가천대학교,IT융합대학,스마트보안학과,,경기,성남시,주간,일반과정,공학계열,전기・전자・컴퓨터,전산학・컴퓨터공학,
가천대학교,IT융합대학,인공지능학과,,경기,성남시,주간,일반과정,공학계열,전기・전자・컴퓨터,응용소프트웨어공학,
가천대학교,IT융합대학,게임・영상학과,,경기,성남시,주간,계약학과,공학계열,전기・전자・컴퓨터,응용소프트웨어공학,
가천대학교,IT융합대학,바이오의료기기학과,,경기,성남시,주간,계약학과,공학계열,전기・전자・컴퓨터,의공학,
가천대학교,IT융합대학,스마트시티학과,,경기,성남시,주간,일반과정,공학계열,건설,도시공학,
가천대학교,IT융합대학,의공학과,,경기,성남시,주간,일반과정,공학계열,전기・전자・컴퓨터,의공학,
가천대학교,IT융합대학,전기공학과,,경기,성남시,주간,일반과정,공학계열,전기・전자・컴퓨터,전기공학,
가천대학교,IT융합대학,컴퓨터공학과,,경기,성남시,주간,일반과정,공학계열,전기・전자・컴퓨터,전산학・컴퓨터공학,
가천대학교,IT융합대학,클라우드공학과,,경기,성남시,주간,계약학과,공학계열,전기・전자・컴퓨터,전산학・컴퓨터공학,
가천대학교,가천리버럴아츠칼리지,자유전공학부,,경기,성남시,주간,일반과정,광역계열,N.C.E,N.C.E.,
가천대학교,간호대학,간호학과,,인천,연수구,주간,일반과정,자연과학계열,간호,간호학,
